CSQ Name,CSQ ID,Skills,Report Period,Calls Presented,Avg Queue Time,Max Queue Time,Calls Handled,Avg Speed of Answer,Avg Handle Time,Max Handle Time,Calls Abandoned,Avg Time to Abandon,Max Time to Abandon,Avg Abandon Per Day,Max Abandon Per Day,Calls Dequeued,Avg Time to Dequeue,Max Time to Dequeue,Calls Handled by Other
English_CSQ,1,English,April 2026,1699,00:00:28,00:01:38,1430,00:00:20,00:03:40,00:09:23,207,00:00:18,00:01:22,9.41,22,8,00:00:47,00:02:13,12
Zulu_CSQ,2,Zulu,April 2026,1828,00:00:28,00:01:54,1551,00:00:27,00:03:26,00:09:22,222,00:00:38,00:02:00,10.09,28,0,00:00:00,00:00:00,10
Sotho_CSQ,3,Sotho,April 2026,1701,00:00:26,00:02:07,1430,00:00:18,00:03:37,00:09:14,221,00:00:40,00:01:48,10.05,30,10,00:00:37,00:01:18,15
Xhosa_CSQ,4,Xhosa,April 2026,1681,00:00:31,00:02:31,1421,00:00:24,00:03:01,00:10:39,216,00:00:44,00:02:46,9.82,26,8,00:00:19,00:00:53,18
Afrikaans_CSQ,5,Afrikaans,April 2026,1741,00:00:18,00:01:52,1494,00:00:16,00:03:39,00:10:06,192,00:00:25,00:01:32,8.73,31,5,00:00:10,00:00:24,10
English_CSQ,1,English,May 2026,2435,00:00:19,00:02:03,2146,00:00:16,00:03:50,00:12:07,213,00:00:34,00:02:26,10.14,23,6,00:00:21,00:00:47,8
Zulu_CSQ,2,Zulu,May 2026,2651,00:00:28,00:02:30,2308,00:00:21,00:03:26,00:10:34,252,00:00:36,00:02:52,12.0,41,1,00:00:45,00:01:59,18
Sotho_CSQ,3,Sotho,May 2026,2595,00:00:22,00:01:31,2243,00:00:20,00:03:44,00:09:49,287,00:00:41,00:03:20,13.67,42,4,00:00:49,00:01:38,11
Xhosa_CSQ,4,Xhosa,May 2026,2611,00:00:30,00:02:11,2249,00:00:25,00:03:05,00:08:37,271,00:00:27,00:01:12,12.9,33,5,00:00:45,00:02:01,16
Afrikaans_CSQ,5,Afrikaans,May 2026,2668,00:00:19,00:01:14,2326,00:00:15,00:03:40,00:08:36,255,00:00:19,00:00:48,12.14,41,7,00:00:26,00:00:55,9
English_CSQ,1,English,June 2026,1633,00:00:28,00:01:42,1380,00:00:25,00:03:41,00:11:05,207,00:00:23,00:01:29,9.41,29,5,00:00:13,00:00:23,2
Zulu_CSQ,2,Zulu,June 2026,1678,00:00:21,00:01:31,1444,00:00:17,00:03:33,00:09:16,181,00:00:44,00:03:06,8.23,26,1,00:00:44,00:01:26,5
Sotho_CSQ,3,Sotho,June 2026,1672,00:00:19,00:00:59,1471,00:00:14,00:03:35,00:08:43,151,00:00:23,00:01:38,6.86,17,6,00:00:28,00:01:19,9
Xhosa_CSQ,4,Xhosa,June 2026,1787,00:00:30,00:01:54,1515,00:00:27,00:03:08,00:10:20,220,00:00:44,00:02:56,10.0,22,12,00:00:43,00:01:41,4
Afrikaans_CSQ,5,Afrikaans,June 2026,1678,00:00:20,00:01:49,1503,00:00:14,00:03:36,00:11:21,125,00:00:25,00:01:03,5.68,15,11,00:00:11,00:00:25,10
